Season,Week,Event ID,Commence Time,Bookmaker,Book Key,Last Update,Home,Away,Player,Team,Opponent,Position,Market Key,Market Window,Line,Side,American Odds,Pair Key,Raw Implied,No-Vig Implied,Source URL
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Jaxon Smith-Njigba,,,WR,player_reception_yds,Full Game,82.5,Over,-111,draftkings|Jaxon Smith-Njigba|player_reception_yds|82.5,0.52606635,0.49789412,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Jaxon Smith-Njigba,,,WR,player_reception_yds,Full Game,82.5,Under,-113,draftkings|Jaxon Smith-Njigba|player_reception_yds|82.5,0.53051643,0.50210588,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,A.J. Brown,,,WR,player_reception_yds,Full Game,60.5,Over,-114,draftkings|A.J. Brown|player_reception_yds|60.5,0.53271028,0.5042123,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,A.J. Brown,,,WR,player_reception_yds,Full Game,60.5,Under,-110,draftkings|A.J. Brown|player_reception_yds|60.5,0.52380952,0.4957877,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Romeo Doubs,,,WR,player_reception_yds,Full Game,35.5,Over,-111,draftkings|Romeo Doubs|player_reception_yds|35.5,0.52606635,0.49789412,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Romeo Doubs,,,WR,player_reception_yds,Full Game,35.5,Under,-113,draftkings|Romeo Doubs|player_reception_yds|35.5,0.53051643,0.50210588,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Hunter Henry,,,WR,player_reception_yds,Full Game,33.5,Over,-115,draftkings|Hunter Henry|player_reception_yds|33.5,0.53488372,0.50631978,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Hunter Henry,,,WR,player_reception_yds,Full Game,33.5,Under,-109,draftkings|Hunter Henry|player_reception_yds|33.5,0.5215311,0.49368022,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Rashid Shaheed,,,WR,player_reception_yds,Full Game,31.5,Over,-111,draftkings|Rashid Shaheed|player_reception_yds|31.5,0.52606635,0.49789412,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Rashid Shaheed,,,WR,player_reception_yds,Full Game,31.5,Under,-113,draftkings|Rashid Shaheed|player_reception_yds|31.5,0.53051643,0.50210588,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Cooper Kupp,,,WR,player_reception_yds,Full Game,29.5,Over,-113,draftkings|Cooper Kupp|player_reception_yds|29.5,0.53051643,0.50210588,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Cooper Kupp,,,WR,player_reception_yds,Full Game,29.5,Under,-111,draftkings|Cooper Kupp|player_reception_yds|29.5,0.52606635,0.49789412,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,AJ Barner,,,WR,player_reception_yds,Full Game,25.5,Over,-112,draftkings|AJ Barner|player_reception_yds|25.5,0.52830189,0.5,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,AJ Barner,,,WR,player_reception_yds,Full Game,25.5,Under,-112,draftkings|AJ Barner|player_reception_yds|25.5,0.52830189,0.5,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Rhamondre Stevenson,,,WR,player_reception_yds,Full Game,23.5,Over,-113,draftkings|Rhamondre Stevenson|player_reception_yds|23.5,0.53051643,0.50210588,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,Rhamondre Stevenson,,,WR,player_reception_yds,Full Game,23.5,Under,-111,draftkings|Rhamondre Stevenson|player_reception_yds|23.5,0.52606635,0.49789412,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
2026,1,8c94552d022acec4a0458d70c19d3da9,2026-09-10T00:20:00Z,DraftKings,draftkings,2026-09-07T20:57:22Z,Seattle Seahawks,New England Patriots,DeMario Douglas,,,WR,player_reception_yds,Full Game,19.5,Over,-111,draftkings|DeMario Douglas|player_reception_yds|19.5,0.52606635,0.49789412,https://api.the-odds-api.com/v4/sports/americanfootball_nfl
